protein,normalized_ratio_protein_level_Gly_plus0_Pro,normalized_ratio_protein_level_Gly_plus1_Pro,normalized_ratio_protein_level_Gly_plus2_Pro,total_intensity_every_channel_protein_level,total_intensity_all_channels_protein_level,Log2-normalized_ratio_protein_level_Gly_plus0_Pro,Log2-normalized_ratio_protein_level_Gly_plus1_Pro,Log2-normalized_ratio_protein_level_Gly_plus2_Pro
"P0CX49, P0CX50",1.08,1.74,5.18,"[28734.9, 46148.0, 137303.2]",212186.1,0.11 ,0.80 ,2.37 
Q12363,0.88,2.36,4.76,"[31740.9, 85552.4, 172161.5]",289454.8,-0.18 ,1.24 ,2.25 
P51979,0.93,2.09,4.98,"[51144.6, 115454.3, 274407.4]",441006.3,-0.10 ,1.06 ,2.32 
P53038,1.02,2.48,4.5,"[44687.0, 108810.3, 197027.5]",350524.8,0.03 ,1.31 ,2.17 
"P22217, P22803",1.07,2.06,4.87,"[66415.9, 128177.6, 302268.0]",496861.5,0.10 ,1.04 ,2.28 
"P0C0W9, Q3E757",1.03,2.09,4.88,"[781802.7, 1583661.3, 3702247.5]",6067711.5,0.04 ,1.06 ,2.29 
"O13535, O74302, P0C2I2, P0C2I3, P0C2I4, P0C2I5, P0C2I6, P0C2I8, P0C2I9, P0C2J0, P0C2J1, P0CX57, P0CX58, P0CX59, P0CX60, P0CX65, P0CX66, P0CX67, P0CX68, P0CX69, P0CX70, P0CX71, P0CX72, P0CX73, P0CX74, P0CX75, P0CX76, P47098, P47099, P47100, Q03434, Q03612, Q03619, Q03855, Q03856, Q04670, Q04706, Q04711, Q07793, Q12085, Q12088, Q12112, Q12141, Q12193, Q12217, Q12269, Q12273, Q12316, Q12391, Q12414, Q12441, Q12470, Q12485, Q6Q5H1, Q92392, Q92393, Q99231, Q99337",0.97,1.99,5.04,"[40845.6, 84380.9, 213218.9]",338445.4,-0.04 ,0.99 ,2.33 
P53166,0.93,2.33,4.74,"[2812.5, 7006.8, 14251.2]",24070.5,-0.10 ,1.22 ,2.24 
"P11484, P40150",0.86,2.13,5.01,"[249596.2, 620292.1, 1455005.4]",2324893.7,-0.22 ,1.09 ,2.32 
P36007,0.59,2.02,5.39,"[3700.4, 12688.9, 33851.3]",50240.6,-0.76 ,1.01 ,2.43 
"P0C0T4, Q3E792",1,1.96,5.04,"[119373.0, 234088.4, 600501.4]",953962.8,0.00 ,0.97 ,2.33 
P15700,0.69,2.38,4.93,"[87902.8, 305227.0, 632040.4]",1025170.2,-0.54 ,1.25 ,2.30 
Q12230,0.97,2.11,4.92,"[259642.3, 564634.5, 1319018.3]",2143295.1,-0.04 ,1.08 ,2.30 
P53114,1.11,1.98,4.91,"[76649.1, 137201.7, 339638.5]",553489.3,0.15 ,0.99 ,2.30 
P32463,1.65,3.58,2.77,"[32772.8, 71261.2, 55204.9]",159238.9,0.72 ,1.84 ,1.47 
P14120,1.02,2.15,4.83,"[19814.6, 41729.3, 93946.2]",155490.1,0.03 ,1.10 ,2.27 
P40185,1.11,2.06,4.83,"[60766.4, 113450.0, 265512.1]",439728.5,0.15 ,1.04 ,2.27 
"P38009, P54113",0.98,1.97,5.05,"[89159.9, 178946.6, 459170.0]",727276.5,-0.03 ,0.98 ,2.34 
P39954,0.96,2.18,4.86,"[115665.8, 263475.1, 585879.9]",965020.8,-0.06 ,1.12 ,2.28 
P38934,0.75,1.65,5.6,"[8727.3, 19073.8, 64778.3]",92579.4,-0.42 ,0.72 ,2.49 
P16862,0.99,2.11,4.9,"[240409.5, 513640.0, 1194057.2]",1948106.7,-0.01 ,1.08 ,2.29 
P43579,1.54,1.95,4.51,"[27704.4, 34992.4, 81173.8]",143870.6,0.62 ,0.96 ,2.17 
P07278,1.13,2.13,4.75,"[30888.0, 58415.0, 130319.9]",219622.9,0.18 ,1.09 ,2.25 
P00330,0.94,2.11,4.96,"[1382269.5, 3106920.0, 7316801.8]",11805991.3,-0.09 ,1.08 ,2.31 
"P02407, P14127",1.01,2.01,4.98,"[961539.8, 1926602.7, 4762607.7]",7650750.2,0.01 ,1.01 ,2.32 
Q02888,2.87,3.82,1.31,"[39796.6, 52997.5, 18163.9]",110958,1.52 ,1.93 ,0.39 
P19414,0.9,2.14,4.95,"[26692.4, 63366.8, 146416.1]",236475.3,-0.15 ,1.10 ,2.31 
P22470,1.19,1.97,4.84,"[12369.7, 20456.2, 50263.9]",83089.8,0.25 ,0.98 ,2.28 
"P26784, P26785",0.92,2.02,5.06,"[55139.9, 120543.6, 301943.5]",477627,-0.12 ,1.01 ,2.34 
"P0CX14, P0CX15, P38722, P38899, P53819, Q03099, Q07888, Q3E7Y5, Q99208",3.65,3.39,0.95,"[87126.8, 80926.8, 22757.5]",190811.1,1.87 ,1.76 ,-0.07 
P17255,1.09,2.15,4.76,"[165337.1, 326451.7, 721810.8]",1213599.6,0.12 ,1.10 ,2.25 
P36169,0.93,2.12,4.95,"[28548.3, 65033.6, 151562.5]",245144.4,-0.10 ,1.08 ,2.31 
P25694,1.03,2.26,4.71,"[123131.2, 269105.7, 562247.6]",954484.5,0.04 ,1.18 ,2.24 
P38715,1.26,1.98,4.76,"[44946.1, 70978.9, 170262.4]",286187.4,0.33 ,0.99 ,2.25 
P34227,0.86,2.87,4.27,"[3808.0, 12684.4, 18845.3]",35337.7,-0.22 ,1.52 ,2.09 
P00925,0.55,1.88,5.57,"[3233.3, 11066.9, 32731.2]",47031.4,-0.86 ,0.91 ,2.48 
Q06698,2.64,4.07,1.29,"[24362.4, 37612.6, 11930.8]",73905.8,1.40 ,2.03 ,0.37 
P40395,1.06,2.02,4.92,"[107911.5, 205360.7, 499847.7]",813119.9,0.08 ,1.01 ,2.30 
Q06665,2.59,4.89,0.52,"[23245.9, 43886.8, 4683.7]",71816.4,1.37 ,2.29 ,-0.94 
P07170,0.93,2.26,4.81,"[16765.4, 40649.9, 86619.0]",144034.3,-0.10 ,1.18 ,2.27 
P49166,1.17,1.82,5.01,"[24215.9, 37869.4, 104145.9]",166231.2,0.23 ,0.86 ,2.32 
P25558,1.59,2.68,3.73,"[9391.5, 15864.2, 22096.9]",47352.6,0.67 ,1.42 ,1.90 
P41810,0.93,2.16,4.91,"[17779.4, 41318.7, 93957.8]",153055.9,-0.10 ,1.11 ,2.30 
P22217,0.89,2.35,4.76,"[12130.8, 31855.0, 64589.2]",108575,-0.17 ,1.23 ,2.25 
P32599,0.99,2.13,4.88,"[17820.4, 38364.3, 87789.5]",143974.2,-0.01 ,1.09 ,2.29 
P37302,0.95,2.4,4.66,"[217891.0, 551330.8, 1071689.0]",1840910.8,-0.07 ,1.26 ,2.22 
Q05506,1.06,1.99,4.95,"[48951.9, 91963.7, 228636.3]",369551.9,0.08 ,0.99 ,2.31 
"P05740, P46990",1.26,2.5,4.24,"[557990.2, 1109681.6, 1884143.0]",3551814.8,0.33 ,1.32 ,2.08 
P33894,2.19,5.35,0.46,"[7669.2, 18696.4, 1614.5]",27980.1,1.13 ,2.42 ,-1.12 
"P40106, P41277",0.98,1.81,5.21,"[21705.0, 39850.8, 114847.7]",176403.5,-0.03 ,0.86 ,2.38 
Q06696,0.44,2.18,5.38,"[3012.2, 14940.3, 36815.6]",54768.1,-1.18 ,1.12 ,2.43 
P34760,0.95,2.3,4.76,"[20751.7, 50268.1, 104114.0]",175133.8,-0.07 ,1.20 ,2.25 
P38264,0.97,2.22,4.81,"[205821.8, 471044.3, 1022995.4]",1699861.5,-0.04 ,1.15 ,2.27 
P15108,1.01,2.19,4.8,"[172327.5, 373587.5, 818297.9]",1364212.9,0.01 ,1.13 ,2.26 
Q07478,1.02,2.08,4.91,"[22841.1, 46692.5, 110200.3]",179733.9,0.03 ,1.06 ,2.30 
P40064,1.8,4.23,1.97,"[3675.3, 8624.6, 4021.7]",16321.6,0.85 ,2.08 ,0.98 
P53009,0.9,0.88,6.23,"[2070.7, 2032.1, 14389.8]",18492.6,-0.15 ,-0.18 ,2.64 
